ItemNumber,Image,Video,Title,OriginalPrice,SalePrice,Discount,Shipping,ShippingCost,ExtraShipping,ExtraShippingCost,Orders,Rating,BuyLink,CouponCode
1005010000000000,https://ae-pic-a1.aliexpress-media.com/kf/Sf27e69397e964fc2ae86df098f208f6dS.jpg,,Cordless Digital Aquarium Thermometer LED Display Electronic Fish Tank Water Temperature Measurement Control Temp Meter Gauge,ILS 22.80,ILS 22.39,1%,ILS,0,ILS,0,730,96.40%,https://s.click.aliexpress.com/e/_oCqOmKr,
1005010000000000,https://ae-pic-a1.aliexpress-media.com/kf/Sdc4af6d0111640f6bc43ff630ef759bbN.jpg,,TUYA smartlife 1- 63A TOMZN 1P+N WIFI Smart Switch Energy Meter Kwh Metering Monitoring Circuit Breaker Timer Relay MCB,ILS 45.64,ILS 45.64,0%,ILS,0,ILS,0,1043,95.90%,https://s.click.aliexpress.com/e/_opXUyKP,
1005010000000000,https://ae-pic-a1.aliexpress-media.com/kf/S63dab1a6d7124cfd851c02fb72941febt.jpg,,"Safety shoes for men and women, breathable work sports shoes, steel toe shoes, puncture resistant safety protection shoes",ILS 194.75,ILS 77.71,60%,ILS,0,ILS,0,1027,93.80%,https://s.click.aliexpress.com/e/_okYgnYP,
1005010000000000,https://ae-pic-a1.aliexpress-media.com/kf/S39ddd8af9fcc4ab5989beee57bc39ba58.jpg,,5pcs Colorful Butterfly Lights Braids Wig Women Party Hair Accessories Random Color,ILS 19.32,ILS 9.66,50%,ILS,0,ILS,0,9152,95.10%,https://s.click.aliexpress.com/e/_oEaJZF5,
1005010000000000,https://ae-pic-a1.aliexpress-media.com/kf/Sd1b4d865c30041619e5679fd36416994K.jpg,,YRZL Men Shoes Spring Autumn Waterproof Walking Sneakers Leisure Male Leather Sports Shoes Non-Slip Footwear Tennis for Men,ILS 130.93,ILS 56.24,57%,ILS,0,ILS,0,928,87.80%,https://s.click.aliexpress.com/e/_oB1GHKL,
1005010000000000,https://ae-pic-a1.aliexpress-media.com/kf/S0d7c69f54b484381816684f4fd90571fC.jpg,,1PC Customized custom custom photo plush pillow personalized pet picture cushion - the best gift choice,ILS 55.70,ILS 27.85,50%,ILS,0,ILS,0,398,95.00%,https://s.click.aliexpress.com/e/_omqTpr9,
1005010000000000,https://ae-pic-a1.aliexpress-media.com/kf/Se5ccd7975162446698858e7ad25a93dfd.png,https://video.aliexpress-media.com/play/u/ae_sg_item/2672424327/p/1/e/6/t/10301/1100201292653.mp4,Foldable Gripper Extender Hand Tools Litter Reachers Picker Portable Collapsible Garbage Grabber Pick Up Tools with Non-Slip Jaw,ILS 120.00,ILS 37.13,69%,ILS,0,ILS,0,1024,98.90%,https://s.click.aliexpress.com/e/_ok8Shht,
1005010000000000,https://ae-pic-a1.aliexpress-media.com/kf/Scdf07757f85c4dd78ab1c47bb8828c3aG.jpg,,HTB-GS-03 Gigabit Fiber Optical Media Converter 10/100/1000Mbps Single Mode to RJ45 3KM/20KM UPC/APC SC-Port US Power Supply,ILS 78.16,ILS 27.35,65%,ILS,0,ILS,0,272,94.00%,https://s.click.aliexpress.com/e/_on8tDGJ,
1005010000000000,https://ae-pic-a1.aliexpress-media.com/kf/S5271a2facb5b4fb2a281be3d7b0dd2eb6.jpg,,Large screen showerhead 3-speed mode portable shower shower accessories showers for bathroom items knobs full heads set parts,ILS 10.56,ILS 10.56,0%,ILS,0,ILS,0,872,94.50%,https://s.click.aliexpress.com/e/_okWizLN,
1005010000000000,https://ae-pic-a1.aliexpress-media.com/kf/S9858aa7078a64603b92b0691d013ccd3S.jpg,,Rolling Knife Sharpener Magnetic Knife Holder Diamond Sharpening Stone Kit with 15 and 20 Degrees Angle Roller Kitchen Accessory,ILS 37.26,ILS 17.89,52%,ILS,0,ILS,0,3479,92.00%,https://s.click.aliexpress.com/e/_opqsrsP,
